Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2017,2017,100 g/ha,59529,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2018,2018,100 g/ha,60358,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2019,2019,100 g/ha,61665,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2020,2020,100 g/ha,62047,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1290.9,"Other vegetables, fresh n.e.c.",2021,2021,100 g/ha,62389,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2016,2016,100 g/ha,128872,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2017,2017,100 g/ha,139070,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2018,2018,100 g/ha,147751,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2019,2019,100 g/ha,162117,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2020,2020,100 g/ha,176083,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1318.0,Pineapples,2021,2021,100 g/ha,180264,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2016,2016,100 g/ha,62717,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2017,2017,100 g/ha,72079,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2018,2018,100 g/ha,71770,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2019,2019,100 g/ha,71174,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2020,2020,100 g/ha,71952,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1510.0,Potatoes,2021,2021,100 g/ha,71754,A,Official figure,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2016,2016,100 g/An,243,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2017,2017,100 g/An,246,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2018,2018,100 g/An,246,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2019,2019,100 g/An,245,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2020,2020,100 g/An,248,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2951.01,Raw hides and skins of cattle,2021,2021,100 g/An,247,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2016,2016,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2017,2017,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2018,2018,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2019,2019,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2020,2020,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2954.0,Raw hides and skins of goats or kids,2021,2021,100 g/An,10,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2016,2016,100 g/An,20,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2017,2017,100 g/An,21,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2018,2018,100 g/An,21,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2019,2019,100 g/An,21,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2020,2020,100 g/An,21,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2953.0,Raw hides and skins of sheep or lambs,2021,2021,100 g/An,21,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2016,2016,100 g/An,4983,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2017,2017,100 g/An,4986,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2018,2018,100 g/An,4983,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2019,2019,100 g/An,4980,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2020,2020,100 g/An,4978,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5420,Yield,2211.0,Raw milk of cattle,2021,2021,100 g/An,4976,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2016,2016,100 g/ha,15295,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2017,2017,100 g/ha,8638,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2018,2018,100 g/ha,11523,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2019,2019,100 g/ha,11931,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2020,2020,100 g/ha,12375,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,113.0,Rice,2021,2021,100 g/ha,12266,A,Official figure,
QCL,Crops and livestock products,24,Angola,5419,Yield,1921.01,"Seed cotton, unginned",2016,2016,100 g/ha,18333,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1921.01,"Seed cotton, unginned",2017,2017,100 g/ha,18333,E,Estimated value,
QCL,Crops and livestock products,24,Angola,5419,Yield,1921.01,"Seed cotton, unginned",2018,2018,100 g/ha,18333,E,Estimated value,
