Africa Eastern and Southern,AFE,Mobile cellular subscriptions,IT.CEL.SETS,Year,Subscribers
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Late-demographic dividend,LTE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Lithuania,LTU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Luxembourg,LUX,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Latvia,LVA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Macao SAR, China",MAC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Morocco,MAR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Monaco,MCO,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Moldova,MDA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Maldives,MDV,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Middle East & North Africa,MEA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mexico,MEX,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Marshall Islands,MHL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Middle income,MIC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
North Macedonia,MKD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Malta,MLT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Myanmar,MMR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Middle East & North Africa (excluding high income),MNA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mongolia,MNG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Northern Mariana Islands,MNP,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Malaysia,MYS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
North America,NAC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
New Caledonia,NCL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Nicaragua,NIC,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Netherlands,NLD,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Norway,NOR,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Nepal,NPL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Nauru,NRU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
New Zealand,NZL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
OECD members,OED,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Oman,OMN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Other small states,OSS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Pakistan,PAK,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Panama,PAN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Peru,PER,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Philippines,PHL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Papua New Guinea,PNG,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Poland,POL,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Pre-demographic dividend,PRE,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Puerto Rico,PRI,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
"Korea, Dem. People's Rep.",PRK,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Portugal,PRT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Paraguay,PRY,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Pacific island small states,PSS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Post-demographic dividend,PST,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
French Polynesia,PYF,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Qatar,QAT,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Romania,ROU,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Russian Federation,RUS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
South Asia,SAS,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,0,0.0
